,ADSB_VEHICLE.lat,ADSB_VEHICLE.lon
568,42.2017,-83.336215
569,42.2017,-83.336215
570,42.2017,-83.336215
571,42.2017,-83.336215
572,42.2017,-83.336215
573,42.2017,-83.336215
574,42.2017,-83.336215
575,42.2017,-83.336215
576,42.2017,-83.336215
577,42.2017,-83.336215
578,42.2017,-83.336215
579,42.2017,-83.336215
580,42.2017,-83.336215
581,42.2017,-83.336215
582,42.2017,-83.336215
583,42.2017,-83.336215
584,42.2017,-83.336215
585,42.2017,-83.336215
586,42.2017,-83.336215
587,42.2017,-83.336215
588,42.2017,-83.336215
589,42.2017,-83.336215
590,42.2017,-83.336215
591,42.2017,-83.336215
592,42.2017,-83.336215
593,42.2017,-83.336215
594,42.2017,-83.336215
595,42.2017,-83.336215
596,42.2017,-83.336215
597,42.2017,-83.336215
598,42.2017,-83.336215
599,42.2017,-83.336215
600,42.2017,-83.336215
601,42.2017,-83.336215
602,42.2017,-83.336215
603,42.2017,-83.336215
604,42.2017,-83.336215
605,42.2017,-83.336215
606,42.2017,-83.336215
607,42.2017,-83.336215
608,42.2017,-83.336215
609,42.2017,-83.336215
610,42.2017,-83.336215
611,42.2017,-83.336215
612,42.2017,-83.336215
613,42.2017,-83.336215
614,42.2017,-83.336215
615,42.2017,-83.336215
616,42.2017,-83.336215
617,42.2017,-83.336215
618,42.2017,-83.336215
619,42.2017,-83.336215
620,42.2017,-83.336215
621,42.2017,-83.336215
622,42.2017,-83.336215
623,42.2017,-83.336215
624,42.2017,-83.336215
625,42.2017,-83.336215
626,42.2017,-83.336215
627,42.2017,-83.336215
628,42.2017,-83.336215
629,42.2017,-83.336215
630,42.2017,-83.336215
631,42.2017,-83.336215
632,42.2017,-83.336215
633,42.2017,-83.336215
634,42.2017,-83.336215
635,42.2017,-83.336215
636,42.2017,-83.336215
637,42.2017,-83.336215
638,42.2017,-83.336215
639,42.2017,-83.336215
640,42.2017,-83.336215
641,42.2017,-83.336215
642,42.2017,-83.336215
643,42.2017,-83.336215
644,42.2017,-83.336215
645,42.2017,-83.336215
646,42.2017,-83.336215
647,42.2017,-83.336215
648,42.2017,-83.336215
649,42.2017,-83.336215
650,42.2017,-83.336215
651,42.2017,-83.336215
652,42.2017,-83.336215
653,42.2017,-83.336215
654,42.2017,-83.336215
655,42.2017,-83.336215
656,42.2017,-83.336215
657,42.2017,-83.336215
658,42.2017,-83.336215
659,42.2017,-83.336215
660,42.2017,-83.336215
661,42.2017,-83.336215
662,42.2017,-83.336215
663,42.2017,-83.336215
664,42.2017,-83.336215
665,42.2017,-83.336215
666,42.2017,-83.336215
667,42.2017,-83.336215
668,42.2017,-83.336215
